Seed,Shot,Score
145,101101010100,2.4850504398345947
146,100101000111,2.562317132949829
147,010011110110,-0.7036803960800171
148,101000101010,-0.6612850427627563
149,011011100010,-0.15011471509933472
150,011010000011,-0.16774684190750122
151,001010101101,2.8822009563446045
152,111001100110,-0.10559588670730591
153,101000000000,-0.33664876222610474
154,011010111101,-0.4066305160522461
155,010101001011,-0.4249923825263977
156,100110111010,-0.19802379608154297
157,010001010100,0.07942700386047363
158,100111010011,-0.9696729779243469
159,000011001100,-0.7905846834182739
160,101011011000,0.29417288303375244
161,101110010100,-0.8373143672943115
162,110100011101,0.01592409610748291
163,100000110010,-0.12258005142211914
164,100110011001,2.95198130607605
165,101111111111,-0.9140309691429138
166,111010111000,0.18716096878051758
167,000011111100,-0.8232718706130981
168,001100010001,-0.4616626501083374
169,010110000000,0.0595625638961792
170,011010111100,-0.05006319284439087
171,101100101110,3.458871364593506
172,111111000100,3.1578164100646973
173,101100100111,-0.4997241497039795
174,000100011010,-0.19049829244613647
175,010100100010,0.08341515064239502
176,011010100101,0.35291528701782227
177,000000010111,-0.5021746158599854
178,100001000000,0.2935875654220581
179,111100111111,0.11761915683746338
180,010111001000,0.3108476400375366
181,010000100101,1.8077013492584229
182,111110001010,-0.6817679405212402
183,001010110010,0.6235781908035278
184,011011011011,-0.5740794539451599
185,010001100100,-0.9923685193061829
186,000100011111,0.3067883253097534
187,010000001111,-0.9017441272735596
188,000110110101,0.6478273868560791
189,010010011010,0.3355271816253662
190,010011011001,1.9924376010894775
191,010000101011,1.7494664192199707
192,111101111000,3.300126552581787
193,101000010110,0.6143105030059814
194,110110101000,-0.801177978515625
195,100010111000,0.08894765377044678
196,101101010010,1.019934892654419
197,101101011101,-0.37527114152908325
198,000000101101,1.6133856773376465
199,001110001111,-0.6443585753440857
200,001110101100,1.081360101699829
201,001010001110,-0.4419993758201599
202,111110010111,0.43301188945770264
203,111101011010,0.16926658153533936
204,101010001111,0.174157977104187
205,001001101100,-0.5638427138328552
206,110101000001,0.0045909881591796875
207,011001101010,-0.5225555896759033
208,011001111100,-0.30305320024490356
209,110011011011,0.5004568099975586
210,001100110111,0.05765092372894287
211,111111001101,-0.08072024583816528
212,110010100001,2.850951671600342
213,000111101001,-0.9812614917755127
214,000001010110,5.558542728424072
215,001100010111,0.018161892890930176
216,000000000000,3.651815414428711
217,111110100011,-0.49617016315460205
218,101011111110,1.6164259910583496
